GU Position,UAV Position,State,UAV Connections,GU Capacity
"((56.01506518201609, 158.72247004054287, 0.0), (79.43170019124047, 52.11635345596671, 0.0), (101.03747018101183, 41.339801024186976, 0.0), (91.86046394523392, 14.306712129366318, 0.0), (34.90185454905438, 140.15263254838317, 0.0), (37.25827881357725, 65.0229192656306, 0.0), (118.18080057027247, 15.996693323980278, 0.0), (164.51152871865384, 66.90076487642787, 0.0), (10.706010268150763, 122.00888660000817, 0.0), (22.13172745038231, 5.122525486018819, 0.0), (28.194653594237707, 17.919018822146278, 0.0), (92.68504433680056, 19.41531547567685, 0.0))","((50, 145, 50), (20, 15, 50), (130, 20, 50), (95, 15, 50), (90, 45, 50))",010000100111111011110,"{0: [0], 1: [4], 2: [4], 3: [3], 4: [0], 5: [1], 6: [2], 7: [2], 8: [0], 9: [1], 10: [1], 11: [3]}","{0: 3209037895.7093534, 1: 6029011771.391974, 2: 6029011771.391974, 3: 6029011771.391974, 4: 3209037895.7093534, 5: 3998307838.89566, 6: 6029011771.391974, 7: 4992595781.991593, 8: 3209037895.7093534, 9: 3998307838.89566, 10: 3998307838.89566, 11: 6029011771.391974}"
"((74.06709042444719, 144.45400313137128, 0.0), (81.25646932449825, 58.13912831027383, 0.0), (91.92028719050074, 46.63844055070851, 0.0), (112.91243553471483, 7.636297452288457, 0.0), (40.866392532066975, 134.97308446621872, 0.0), (21.703998054754635, 85.25936851656648, 0.0), (133.88334775903712, 12.889579497521002, 0.0), (145.98215284759493, 53.808620097612376, 0.0), (11.13609886753436, 121.06578554330332, 0.0), (14.322620446947383, 20.994852495433243, 0.0), (37.139647018769665, 10.778816750432814, 0.0), (69.04690103555956, 29.827124536103966, 0.0))","((20, 15, 50), (15, 45, 50), (135, 20, 55), (85, 30, 50), (80, 30, 55))",111111000110011011111,"{0: [3], 1: [3], 2: [3], 3: [2], 4: [1], 5: [1], 6: [2], 7: [2], 8: [1], 9: [0], 10: [0], 11: [3]}","{0: 3650275536.2848883, 1: 4309145927.42865, 2: 4309145927.42865, 3: 5659725449.70917, 4: 4098121380.9454145, 5: 4309145927.42865, 6: 5907797565.649464, 7: 5438146993.362491, 8: 4309145927.42865, 9: 4309145927.42865, 10: 4309145927.42865, 11: 4309145927.42865}"
"((55.87440920816892, 147.2223245673022, 0.0), (86.65304264900284, 58.24046158148686, 0.0), (114.912288322733, 39.9433969378716, 0.0), (93.50828623886477, 20.30597054776244, 0.0), (41.635131388355354, 124.41265981135854, 0.0), (8.039843765754227, 62.65692256479317, 0.0), (134.27711618171543, 21.344103250893873, 0.0), (160.93262950137367, 28.19226499989736, 0.0), (10.408549137077745, 114.2035290482786, 0.0), (15.398905021319413, 20.941669309439828, 0.0), (54.6686113872382, 34.593943366486364, 0.0), (63.33353568625798, 30.17647645969769, 0.0))","((25, 30, 50), (100, 25, 50), (135, 10, 50), (25, 40, 50), (10, 45, 50))",010011100111111010110,"{0: [3], 1: [1], 2: [1], 3: [1], 4: [4], 5: [4], 6: [2], 7: [2], 8: [4], 9: [0], 10: [0], 11: [1]}","{0: 3717041065.871479, 1: 5615178670.678617, 2: 5969604711.146164, 3: 6166725949.630159, 4: 3828909131.659402, 5: 3828909131.659402, 6: 6131100573.411397, 7: 5723778566.587768, 8: 3828909131.659402, 9: 3957153780.6700087, 10: 3957153780.6700087, 11: 5582631332.049707}"
"((58.143470747001984, 145.01505386367907, 0.0), (102.8688090718082, 66.42234997171539, 0.0), (111.727404993216, 22.903791363426123, 0.0), (65.55363662493826, 26.471317603331933, 0.0), (63.837556758450404, 117.50445417382942, 0.0), (2.205567648358155, 66.5528432016291, 0.0), (152.79294809152302, 36.30667196579268, 0.0), (142.67556531051673, 43.705116152523075, 0.0), (21.896133441688914, 105.76677126384747, 0.0), (10.487936133422258, 21.923526954584275, 0.0), (48.744786851293696, 33.86020292937024, 0.0), (55.754454983402205, 31.354992415191674, 0.0))","((120, 35, 50), (80, 35, 50), (85, 5, 50), (130, 130, 55), (130, 20, 50))",000111001110111111110,"{0: [3], 1: [0], 2: [0], 3: [1], 4: [3], 5: [2], 6: [4], 7: [4], 8: [3], 9: [1], 10: [1], 11: [1]}","{0: 4497562060.656544, 1: 5616011163.32609, 2: 6029011771.391974, 3: 6029011771.391974, 4: 4645695029.765284, 5: 3889488805.3945413, 6: 5814778520.064276, 7: 5842142560.465506, 8: 3686321656.781979, 9: 4655938445.7355795, 10: 5734026264.243799, 11: 5896625375.514732}"
"((56.225177184276106, 153.00719826602318, 0.0), (75.35660471889115, 56.16602013997474, 0.0), (102.42719525995794, 25.917502668077187, 0.0), (83.33019011872965, 35.675175015820514, 0.0), (60.994569189170576, 106.98803168382865, 0.0), (10.313339831541303, 63.98722348240461, 0.0), (148.6219740108829, 24.50365122380518, 0.0), (161.91797331438397, 53.45993895444212, 0.0), (10.870480088861614, 103.38159190884777, 0.0), (1.1574950451932953, 17.136312966647253, 0.0), (52.733768549166356, 13.237262753669391, 0.0), (52.69804784577692, 32.14898394645033, 0.0))","((130, 30, 55), (80, 25, 50), (95, 35, 50), (15, 40, 50), (25, 40, 50))",000111001110111111100,"{0: [4], 1: [2], 2: [2], 3: [1], 4: [2], 5: [3], 6: [0], 7: [0], 8: [3], 9: [3], 10: [1], 11: [1]}","{0: 3606597873.322524, 1: 4554285380.003439, 2: 4554285380.003439, 3: 4554285380.003439, 4: 4429717544.112739, 5: 4554285380.003439, 6: 5765390061.644636, 7: 5341242076.576421, 8: 4554285380.003439, 9: 4554285380.003439, 10: 4554285380.003439, 11: 4554285380.003439}"
"((41.22896748228246, 143.58368777611437, 0.0), (90.96120244421482, 57.022952755310165, 0.0), (79.48695662648866, 25.3494347443689, 0.0), (84.72869255653184, 34.43721444701353, 0.0), (60.8593954409783, 91.16192066675978, 0.0), (2.602449548979762, 55.26988379025123, 0.0), (162.22750856894018, 24.653154600574933, 0.0), (163.18895845954503, 53.24366147501541, 0.0), (7.92706248418649, 102.63559948434622, 0.0), (15.898602878601409, 24.245265709289864, 0.0), (67.80882090099206, 3.740621731953931, 0.0), (50.95394136994746, 36.290795530678025, 0.0))","((130, 30, 55), (25, 40, 50), (20, 40, 50), (80, 30, 50), (115, 35, 50))",111110000110011011111,"{0: [1], 1: [3], 2: [3], 3: [3], 4: [4], 5: [2], 6: [0], 7: [0], 8: [2], 9: [2], 10: [3], 11: [1]}","{0: 3854234828.1181874, 1: 5787037520.600984, 2: 5808506647.458539, 3: 5808506647.458539, 4: 4469743669.900683, 5: 3987202458.966911, 6: 5504262056.420624, 7: 5319169241.983075, 8: 3987202458.966911, 9: 3987202458.966911, 10: 5792208804.4754095, 11: 4111971384.2092624}"
"((49.775191051183164, 140.26259535180537, 0.0), (88.36239132072868, 60.61108516313894, 0.0), (86.60763132020837, 23.317283422630855, 0.0), (91.97387319009883, 60.746844693450626, 0.0), (59.86325387373334, 90.22602501414258, 0.0), (8.516670451813006, 50.42416963040334, 0.0), (172.93510496362424, 29.230706124439852, 0.0), (150.9528172583325, 56.359039318287564, 0.0), (6.565682459827318, 122.65648620905486, 0.0), (13.491140192112791, 13.865223465941936, 0.0), (42.34508557415985, 4.747758531101631, 0.0), (46.94925647114711, 28.23446121686412, 0.0))","((130, 20, 50), (10, 45, 50), (20, 25, 50), (90, 30, 50), (125, 25, 55))",111111000110011011110,"{0: [1], 1: [3], 2: [3], 3: [3], 4: [4], 5: [1], 6: [0], 7: [0], 8: [1], 9: [2], 10: [2], 11: [2]}","{0: 3828909131.659402, 1: 5749770901.156312, 2: 6029011771.391974, 3: 5745847731.013714, 4: 4067377822.519452, 5: 3828909131.659402, 6: 5392889659.494319, 7: 5447257455.190649, 8: 3828909131.659402, 9: 3998307838.89566, 10: 3998307838.89566, 11: 3998307838.89566}"
"((35.9793119052982, 123.42747931212091, 0.0), (98.6334261355255, 63.8004598907991, 0.0), (81.85628686251228, 18.71842914567289, 0.0), (76.65319557049264, 52.432042854169964, 0.0), (68.77990493248139, 90.2309080408064, 0.0), (30.451325593272905, 45.48195191947828, 0.0), (180.75916405625367, 38.142686376148184, 0.0), (177.19066316384203, 65.2458462889712, 0.0), (6.278050389265374, 132.46827400420858, 0.0), (15.372905222553134, 26.649646737087927, 0.0), (31.85036688916357, 6.576591807960337, 0.0), (34.1848442865338, 15.706128244177945, 0.0))","((130, 20, 50), (10, 45, 50), (20, 25, 50), (85, 30, 50), (80, 20, 50))",111111000110011011110,"{0: [1], 1: [3], 2: [4], 3: [3], 4: [3], 5: [1], 6: [0], 7: [0], 8: [1], 9: [2], 10: [2], 11: [2]}","{0: 3828909131.659402, 1: 5598368666.289533, 2: 6029011771.391974, 3: 5909615097.108163, 4: 4878875140.086622, 5: 3828909131.659402, 6: 5112837072.34568, 7: 4797782635.954394, 8: 3828909131.659402, 9: 3998307838.89566, 10: 3998307838.89566, 11: 3998307838.89566}"
"((59.31942027076324, 133.6229354289415, 0.0), (110.25428788794657, 65.86713095534817, 0.0), (75.56737599780725, 26.048269044047153, 0.0), (74.04221393183221, 48.353638306898056, 0.0), (85.54653988885921, 86.78730028935985, 0.0), (16.95406253611221, 68.31225531992054, 0.0), (171.29443368183684, 42.5358238712041, 0.0), (189.30549335701127, 39.02206947409513, 0.0), (6.012518908778263, 130.96334578643112, 0.0), (22.383764695520362, 25.272908479880197, 0.0), (19.46318538752454, 15.680089691892531, 0.0), (21.532361281928264, 23.764529675802798, 0.0))","((135, 10, 50), (15, 40, 50), (10, 40, 50), (85, 35, 50), (25, 40, 50))",000111001100111111111,"{0: [4], 1: [3], 2: [3], 3: [3], 4: [3], 5: [1], 6: [0], 7: [0], 8: [2], 9: [4], 10: [1], 11: [4]}","{0: 3963315573.7093816, 1: 4277589990.568563, 2: 4277589990.568563, 3: 4277589990.568563, 4: 4277589990.568563, 5: 4277589990.568563, 6: 5257554830.618721, 7: 4900746767.945211, 8: 4156594785.208168, 9: 4277589990.568563, 10: 4277589990.568563, 11: 4277589990.568563}"
"((64.74432375062274, 141.9772634436112, 0.0), (109.3241594268367, 80.01052178855593, 0.0), (71.10810487507825, 16.063532763387276, 0.0), (101.3239396452658, 35.942126045151284, 0.0), (103.58954149855786, 67.75619199842271, 0.0), (27.792668511125616, 74.1197122346009, 0.0), (170.4796756498365, 40.69098550295351, 0.0), (174.40233779362381, 36.791926522297935, 0.0), (31.281431718913225, 143.22680933028263, 0.0), (5.8027420646167585, 5.13622007036469, 0.0), (21.269928161583838, 18.01440454882674, 0.0), (32.95858811810812, 10.663621749459791, 0.0))","((130, 20, 50), (20, 15, 50), (20, 40, 50), (110, 35, 50), (85, 35, 50))",100011111110011011101,"{0: [4], 1: [3], 2: [4], 3: [3], 4: [3], 5: [2], 6: [0], 7: [0], 8: [2], 9: [1], 10: [1], 11: [1]}","{0: 3771300806.198733, 1: 5026396614.433149, 2: 4483512983.81022, 3: 5026396614.433149, 4: 5026396614.433149, 5: 4483512983.81022, 6: 5349661463.552808, 7: 5293265541.672933, 8: 3875303023.0523458, 9: 4483512983.81022, 10: 4483512983.81022, 11: 4483512983.81022}"
