UAV Connections,GU Capacity
"{0: [0], 1: [3], 2: [0], 3: [0], 4: [0], 5: [4], 6: [1], 7: [0], 8: [3], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0]}","{0: 4260383932.6026955, 1: 5360983759.248147, 2: 4260383932.6026955, 3: 4260383932.6026955, 4: 4260383932.6026955, 5: 5082250885.111539, 6: 5640856543.397713, 7: 4260383932.6026955, 8: 5885750737.637794, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955, 12: 4260383932.6026955, 13: 4260383932.6026955}"
"{0: [1], 1: [0], 2: [1], 3: [0], 4: [0], 5: [3], 6: [1], 7: [0], 8: [3], 9: [1], 10: [1], 11: [0], 12: [0]}","{0: 4832630310.484098, 1: 4260383932.6026955, 2: 4578054343.592223, 3: 4260383932.6026955, 4: 4260383932.6026955, 5: 5082487302.791277, 6: 4691176731.744296, 7: 4260383932.6026955, 8: 5435547553.693723, 9: 4122665838.178783, 10: 3907950777.3314056, 11: 4260383932.6026955, 12: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [1], 3: [2], 4: [0], 5: [2], 6: [1], 7: [0], 8: [3], 9: [1], 10: [1], 11: [0], 12: [0], 13: [1]}","{0: 4578075094.099557, 1: 4534920040.479631, 2: 3633032424.113936, 3: 4160033648.155274, 4: 7.620279233227476, 5: 5301731538.526088, 6: 3878627874.970759, 7: 7.620279233227476, 8: 4924535706.68769, 9: 3605431715.094519, 10: 3006527400.0829997, 11: 7.620279233227476, 12: 3.2976665026485463, 13: 2587813263.521804}"
"{0: [1], 1: [3], 2: [0], 3: [2], 4: [0], 5: [4], 6: [0], 7: [0], 8: [3], 9: [0], 10: [0], 11: [0]}","{0: 6036964696.780537, 1: 5885750737.637794, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 4260383932.6026955, 5: 5082250885.111539, 6: 4260383932.6026955, 7: 4260383932.6026955, 8: 5885750737.637794, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [0], 3: [2], 4: [0], 5: [4], 6: [0], 7: [0], 8: [3], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0]}","{0: 5483145035.167545, 1: 5885750737.637794, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 4260383932.6026955, 5: 5082250885.111539, 6: 4260383932.6026955, 7: 4260383932.6026955, 8: 5885750737.637794, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955, 12: 4260383932.6026955, 13: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [0], 3: [1], 4: [0], 5: [3], 6: [1], 7: [0], 8: [0], 9: [0], 10: [1], 11: [0]}","{0: 5382095718.76355, 1: 5217675260.576912, 2: 9.156354907825806, 3: 5254977696.865768, 4: 4260383932.6026955, 5: 5249149577.331175, 6: 4082511982.3492846, 7: 4260383932.6026955, 8: 4260383932.6026955, 9: 4260383932.6026955, 10: 4074893414.187546, 11: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [0], 3: [1], 4: [1], 5: [3], 6: [1], 7: [0], 8: [3], 9: [1], 10: [1]}","{0: 5097982002.906192, 1: 4645223814.741657, 2: 6.079929865712925, 3: 4200468624.7351995, 4: 3058804863.757252, 5: 23.405693328124734, 6: 3546966844.4609337, 7: 5.485843531311667, 8: 4985028867.484629, 9: 2636283968.716807, 10: 3393720174.181955}"
"{0: [1], 1: [3], 2: [0], 3: [2], 4: [0], 5: [3], 6: [0], 7: [0], 8: [3], 9: [0]}","{0: 5877928856.145939, 1: 5885750737.637794, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 4260383932.6026955, 5: 5632938907.877889, 6: 4260383932.6026955, 7: 4260383932.6026955, 8: 5885750737.637794, 9: 4260383932.6026955}"
"{0: [2], 1: [3], 2: [0], 3: [2], 4: [0], 5: [3], 6: [1], 7: [0]}","{0: 5222244956.618764, 1: 5885750737.637794, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 4260383932.6026955, 5: 4984885848.940353, 6: 5166826149.028884, 7: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [0], 3: [0], 4: [1], 5: [3], 6: [1], 7: [0], 8: [0]}","{0: 6176548724.294183, 1: 5470271987.155135, 2: 4260383932.6026955, 3: 4260383932.6026955, 4: 3974312651.843965, 5: 6137796155.440243, 6: 4768172064.31251, 7: 4260383932.6026955, 8: 4260383932.6026955}"
