UAV Connections,GU Capacity
"{0: [1], 1: [2], 2: [3], 3: [3], 4: [1], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [3]}","{0: 5535800412.2823305, 1: 5222244956.618764, 2: 5738415772.133429, 3: 5467283520.550996, 4: 6132240751.299645, 5: 4260383932.6026955, 6: 5885750737.637794, 7: 7.462112613169579, 8: 5974222441.410119, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 5534856242.144296}"
"{0: [1], 1: [0], 2: [0], 3: [0], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 6079984511.458221, 1: 4260383932.6026955, 2: 4260383932.6026955, 3: 4260383932.6026955, 4: 5777300302.934385, 5: 4785503170.314179, 6: 5502546808.717625, 7: 5668244193.707226, 8: 4956536561.655461, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [2], 1: [1], 2: [2], 3: [2], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [0]}","{0: 4683886327.234685, 1: 3689036312.467219, 2: 4414813315.576425, 3: 3889791832.0113974, 4: 5118779512.742813, 5: 3481522164.0582905, 6: 4933919274.735032, 7: 5424584119.192346, 8: 4379969490.404982, 9: 2917957527.3879943, 10: 7.620279233227476, 11: 7.620279233227476}"
"{0: [1], 1: [2], 2: [3], 3: [0], 4: [1], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5718115142.485843, 1: 5222244956.618764, 2: 5885750737.637794, 3: 4260383932.6026955, 4: 5608452235.962513, 5: 4260383932.6026955, 6: 5885750737.637794, 7: 23.478934868804608, 8: 5873135432.14424, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [2], 2: [3], 3: [2], 4: [2], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5640048510.41598, 1: 5222244956.618764, 2: 5818449426.936376, 3: 5222244956.618764, 4: 5222244956.618764, 5: 4260383932.6026955, 6: 5885750737.637794, 7: 5512240976.613212, 8: 5695379522.625193, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [0], 2: [0], 3: [0], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5720216183.377071, 1: 4260383932.6026955, 2: 4260383932.6026955, 3: 4260383932.6026955, 4: 5504349635.525962, 5: 3943511233.6151323, 6: 6153020611.208564, 7: 5903261842.595562, 8: 4732131693.511494, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [1], 2: [2], 3: [2], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [0]}","{0: 5611341180.205455, 1: 3730194890.851098, 2: 3908160421.9701653, 3: 4793221150.40396, 4: 4409944411.808628, 5: 3296754412.7100344, 6: 5477442178.031694, 7: 5563147149.684092, 8: 4441180559.246699, 9: 2815690025.6840677, 10: 3.3664274117088224, 11: 7.620279233227476}"
"{0: [1], 1: [2], 2: [3], 3: [2], 4: [2], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 6158553171.612288, 1: 5222244956.618764, 2: 5237751511.988633, 3: 5222244956.618764, 4: 5222244956.618764, 5: 4260383932.6026955, 6: 5182723424.8349905, 7: 4974100881.465348, 8: 5911482670.646833, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [2], 2: [0], 3: [2], 4: [2], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5777612958.886828, 1: 5222244956.618764, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 5222244956.618764, 5: 4260383932.6026955, 6: 5414121601.138619, 7: 4944175605.0875435, 8: 5908017846.3829975, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [0], 2: [0], 3: [0], 4: [0], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 6108636807.9987335, 1: 4260383932.6026955, 2: 4260383932.6026955, 3: 4260383932.6026955, 4: 4260383932.6026955, 5: 4674319016.116791, 6: 6139065553.941796, 7: 6165985713.559227, 8: 5476318020.514968, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [2], 2: [0], 3: [2], 4: [2], 5: [0], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [0]}","{0: 24.091100053311653, 1: 15.86366299525522, 2: 4.282040062538997, 3: 3985820404.7268476, 4: 5247143361.055472, 5: 7.620279233227476, 6: 5272806740.570672, 7: 5356171792.354572, 8: 5659415898.955929, 9: 2914545093.227348, 10: 2.875868452709855, 11: 2.412538618781233}"
"{0: [1], 1: [2], 2: [0], 3: [3], 4: [2], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5845691392.889083, 1: 5222244956.618764, 2: 4260383932.6026955, 3: 5885750737.637794, 4: 5222244956.618764, 5: 4260383932.6026955, 6: 5777753379.421667, 7: 5367704951.268586, 8: 5707742718.490999, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [2], 2: [0], 3: [3], 4: [2], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5826585985.51178, 1: 5222244956.618764, 2: 4260383932.6026955, 3: 5885750737.637794, 4: 5222244956.618764, 5: 4260383932.6026955, 6: 5851466485.784277, 7: 5334915228.964435, 8: 6134822667.2155485, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [1], 2: [0], 3: [0], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 6051600303.654651, 1: 5221035979.390055, 2: 4260383932.6026955, 3: 4260383932.6026955, 4: 5349661912.098671, 5: 4310805524.185061, 6: 6108854002.437634, 7: 6021899953.230519, 8: 5136086103.762533, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [2], 2: [0], 3: [2], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [0]}","{0: 5012812043.891648, 1: 5269899738.266165, 2: 4.803678985239337, 3: 3763663800.7904677, 4: 4348203875.918841, 5: 3486278270.8493443, 6: 4727503479.552831, 7: 5563147149.684092, 8: 5259951867.535624, 9: 3023877956.1455526, 10: 5.899527301186325, 11: 5.280217186512278}"
"{0: [2], 1: [2], 2: [0], 3: [3], 4: [2], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5222244956.618764, 1: 5222244956.618764, 2: 4260383932.6026955, 3: 5885750737.637794, 4: 5222244956.618764, 5: 4260383932.6026955, 6: 5466818467.53309, 7: 4902934186.043464, 8: 5712624062.584661, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [2], 1: [2], 2: [0], 3: [3], 4: [1], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5222244956.618764, 1: 5222244956.618764, 2: 4260383932.6026955, 3: 5693179486.989261, 4: 5636955737.462045, 5: 4260383932.6026955, 6: 5254151531.278078, 7: 5035446700.589634, 8: 5755532196.324525, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955}"
"{0: [1], 1: [0], 2: [0], 3: [0], 4: [1], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 5604127831.448619, 1: 4260383932.6026955, 2: 4260383932.6026955, 3: 4260383932.6026955, 4: 6171426271.537418, 5: 4260383932.6026955, 6: 6091502589.230123, 7: 6201748805.073775, 8: 4980960875.622339, 9: 4260383932.6026955, 10: 7.991146644763205, 11: 4260383932.6026955}"
"{0: [1], 1: [2], 2: [1], 3: [2], 4: [2], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [1], 11: [0]}","{0: 4519769777.677432, 1: 5301731538.526088, 2: 3075958636.249393, 3: 4091048956.289751, 4: 5301731538.526088, 5: 3329602201.1786904, 6: 5563147149.684092, 7: 4806498238.744532, 8: 4936872349.493763, 9: 4.787229390196925, 10: 3880307749.8054457, 11: 2.9009073952414934}"
"{0: [2], 1: [2], 2: [0], 3: [2], 4: [4], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [1], 11: [0]}","{0: 5222244956.618764, 1: 5222244956.618764, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 5082250885.111539, 5: 4260383932.6026955, 6: 5011923117.653426, 7: 5291445118.500848, 8: 6092293917.522711, 9: 4260383932.6026955, 10: 5776710155.342815, 11: 4260383932.6026955}"
"{0: [2], 1: [2], 2: [0], 3: [3], 4: [2], 5: [0], 6: [3], 7: [3], 8: [1], 9: [0], 10: [1], 11: [0]}","{0: 5222244956.618764, 1: 5222244956.618764, 2: 4260383932.6026955, 3: 5885750737.637794, 4: 5222244956.618764, 5: 4260383932.6026955, 6: 4855714046.125862, 7: 5407113132.247374, 8: 6156840244.207363, 9: 4260383932.6026955, 10: 5429366145.11907, 11: 4260383932.6026955}"
"{0: [1], 1: [0], 2: [1], 3: [0], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [1], 11: [0]}","{0: 5330328703.828423, 1: 4260383932.6026955, 2: 3927343675.651469, 3: 4260383932.6026955, 4: 6085417717.5263605, 5: 4634001739.404679, 6: 5903017582.345312, 7: 6163027965.538526, 8: 4929834558.884166, 9: 8.86202728591978, 10: 5287318120.644074, 11: 4260383932.6026955}"
"{0: [1], 1: [2], 2: [1], 3: [2], 4: [1], 5: [0], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 4262758978.9399776, 1: 5263552005.217644, 2: 3155229431.9618196, 3: 3812743898.959581, 4: 5248840922.138134, 5: 7.620279233227476, 6: 5563147149.684092, 7: 5436862144.156519, 8: 4198116766.6210456, 9: 3306786975.657086, 10: 4836101574.084431, 11: 5.022127685328887}"
