GU Position,UAV Position,State,UAV Connections,GU Capacity
"((8.13153054754615, 65.44710662213409, 0.0), (89.86223383289709, 9.528287842174215, 0.0), (13.221221582447148, 74.30465455657131, 0.0), (68.10004396822391, 35.402594833241686, 0.0), (60.86857686670207, 27.127933454172425, 0.0), (151.63761811050432, 101.29799035578768, 0.0), (24.602350172582113, 95.56407988876572, 0.0), (59.890812459948194, 19.689399730654504, 0.0), (146.8770530707517, 29.699656475516903, 0.0), (3.401681104968223, 76.72533748912477, 0.0), (21.149984754699183, 67.91568106410455, 0.0), (5.474480785641168, 14.148629662664513, 0.0), (12.509025809783216, 4.942331093119561, 0.0), (10.096854149445253, 2.1162233880680272, 0.0))","((135, 10, 50), (10, 10, 50), (80, 20, 50), (5, 45, 50), (10, 45, 50))",000001111110011111110,"{0: [4], 1: [2], 2: [4], 3: [2], 4: [2], 5: [0], 6: [4], 7: [2], 8: [0], 9: [3], 10: [4], 11: [1], 12: [1], 13: [1]}","{0: 4216686631.3627496, 1: 4216686631.3627496, 2: 4216686631.3627496, 3: 4216686631.3627496, 4: 4216686631.3627496, 5: 3024573186.5269876, 6: 4216686631.3627496, 7: 4216686631.3627496, 8: 3024573186.5269876, 9: 4216686631.3627496, 10: 4216686631.3627496, 11: 4216686631.3627496, 12: 4216686631.3627496, 13: 4216686631.3627496}"
"((18.455365725966693, 91.9244185074786, 0.0), (114.03899082602497, 1.191800957371088, 0.0), (27.409573357223728, 69.80580528956261, 0.0), (83.1202614023972, 36.9994179421021, 0.0), (75.65843024070638, 35.491162974046055, 0.0), (146.6928080583695, 79.80805107818512, 0.0), (14.07578347411438, 88.92602090815356, 0.0), (47.91847840213377, 27.118940589010407, 0.0), (128.3524244945465, 22.124273838639514, 0.0), (0.08302451100508046, 69.38437518715376, 0.0), (2.360221752108359, 53.25707451810666, 0.0), (32.443967648581115, 27.10226940072646, 0.0), (23.42770664198479, 19.53805741103202, 0.0))","((135, 10, 50), (0, 45, 50), (10, 45, 50), (80, 30, 50), (25, 30, 50))",000111001110111110111,"{0: [2], 1: [0], 2: [2], 3: [3], 4: [3], 5: [0], 6: [2], 7: [4], 8: [0], 9: [1], 10: [1], 11: [4], 12: [4]}","{0: 4177618344.873082, 1: 5935673055.798822, 2: 4177618344.873082, 3: 4177618344.873082, 4: 4177618344.873082, 5: 4654653005.005974, 6: 4177618344.873082, 7: 4177618344.873082, 8: 6097972439.071347, 9: 4177618344.873082, 10: 4177618344.873082, 11: 4177618344.873082, 12: 4177618344.873082}"
"((19.874731517503147, 115.92020869821688, 0.0), (130.49370746494964, 5.748198606156468, 0.0), (26.947729385827923, 62.42991590194664, 0.0), (83.33781715210927, 36.820055881035486, 0.0), (58.43629680213228, 27.071371774731126, 0.0), (157.0978636175713, 91.04674141080862, 0.0), (16.296114357295306, 81.308793631815, 0.0), (52.34915751769283, 31.942450789920358, 0.0), (136.25342555525737, 19.540676687227457, 0.0), (11.917110678437119, 68.08665725673941, 0.0), (0.2858809298352125, 34.14785283445019, 0.0), (37.138877977103846, 52.511381483032096, 0.0), (27.690334297454008, 12.46248510361757, 0.0), (0.22191807138437775, 0.07498318904929395, 0.0))","((135, 20, 55), (15, 5, 50), (25, 40, 50), (10, 45, 50), (5, 45, 50))",000111001110111111111,"{0: [3], 1: [0], 2: [2], 3: [2], 4: [2], 5: [0], 6: [3], 7: [2], 8: [0], 9: [3], 10: [4], 11: [2], 12: [1], 13: [1]}","{0: 3848570466.0620465, 1: 5830831862.121933, 2: 3848570466.0620465, 3: 3848570466.0620465, 4: 3848570466.0620465, 5: 4473666481.838048, 6: 3848570466.0620465, 7: 3848570466.0620465, 8: 5931055046.543081, 9: 3848570466.0620465, 10: 3848570466.0620465, 11: 3848570466.0620465, 12: 3848570466.0620465, 13: 3848570466.0620465}"
"((19.052589952792992, 116.23831649322806, 0.0), (130.84980527875078, 19.994617336398804, 0.0), (36.92007989815869, 65.58296967927932, 0.0), (83.56536918393437, 57.61509206835518, 0.0), (42.49836019947439, 16.76356417835526, 0.0), (144.3329057131765, 94.01603730115234, 0.0), (0.4249721169516505, 56.6395481833172, 0.0), (53.7825092644269, 12.279639019999504, 0.0), (127.2990155838244, 21.99998708954553, 0.0), (20.60340582809541, 68.31842181639163, 0.0), (0.6657580069335984, 34.136759472001295, 0.0), (52.31132760612373, 32.68555507577131, 0.0))","((145, 100, 55), (10, 75, 50), (190, 110, 55), (195, 110, 55), (60, 15, 50))",111111000010011011101,"{0: [1], 1: [4], 2: [1], 3: [4], 4: [4], 5: [0], 6: [1], 7: [4], 8: [4], 9: [1], 10: [1], 11: [4]}","{0: 4508061092.611221, 1: 3760120447.813518, 2: 4508061092.611221, 3: 3760120447.813518, 4: 3760120447.813518, 5: 4298542130.881726, 6: 4508061092.611221, 7: 3760120447.813518, 8: 3760120447.813518, 9: 4508061092.611221, 10: 4508061092.611221, 11: 3760120447.813518}"
"((32.329989637723685, 89.39838742992565, 0.0), (133.63642747866828, 19.83990012434183, 0.0), (18.960636881872002, 64.97185244699601, 0.0), (81.79192012759461, 59.25582459967282, 0.0), (44.49906047133833, 9.44489268000524, 0.0), (148.99119653543744, 105.14145273126532, 0.0), (23.8437633105461, 73.33967296269216, 0.0), (33.800499675878996, 1.2393381522238744, 0.0), (118.15525499386214, 32.038492414256346, 0.0), (18.010880137782344, 41.113408088955, 0.0), (1.1340425124134104, 34.75965478920044, 0.0), (52.324143205173726, 31.983176691437535, 0.0), (22.97169670175902, 15.986949583074733, 0.0), (0.5355485865970095, 2.441297531283619, 0.0))","((140, 0, 50), (10, 35, 50), (10, 45, 50), (25, 30, 50), (0, 0, 50))",000111001110111111111,"{0: [2], 1: [0], 2: [2], 3: [0], 4: [3], 5: [0], 6: [2], 7: [3], 8: [0], 9: [2], 10: [1], 11: [3], 12: [3], 13: [4]}","{0: 3828909131.659402, 1: 5975189500.5036745, 2: 3828909131.659402, 3: 4345210170.832866, 4: 3828909131.659402, 5: 3840120937.7346773, 6: 3828909131.659402, 7: 3828909131.659402, 8: 5535132484.597153, 9: 3828909131.659402, 10: 3828909131.659402, 11: 3828909131.659402, 12: 3828909131.659402, 13: 3828909131.659402}"
"((32.689921881091216, 106.11145326249297, 0.0), (123.9251830143115, 10.165389868310559, 0.0), (32.74434189407501, 55.94944477080088, 0.0), (87.6586404499698, 84.46989669707774, 0.0), (23.52812939175899, 13.634371870066978, 0.0), (151.6961954747221, 75.49830665341689, 0.0), (4.54865048495229, 62.09882346973419, 0.0), (49.843960131051055, 8.229061041206648, 0.0), (117.78874043155535, 23.970563649267028, 0.0), (2.1786095985966707, 19.914257661746472, 0.0), (7.146962071954689, 59.23220264146773, 0.0), (51.028864992511316, 20.72639274666157, 0.0))","((15, 45, 50), (120, 15, 50), (135, 10, 50), (80, 15, 50), (15, 20, 50))",010011100111111011100,"{0: [0], 1: [1], 2: [0], 3: [3], 4: [4], 5: [2], 6: [0], 7: [3], 8: [1], 9: [4], 10: [0], 11: [3]}","{0: 3876117513.087325, 1: 6180886802.773662, 2: 3876117513.087325, 3: 4677945548.090485, 4: 3757814786.2712655, 5: 4738612318.473845, 6: 3876117513.087325, 7: 5743400332.394325, 8: 6155021722.464426, 9: 3757814786.2712655, 10: 3876117513.087325, 11: 5777880002.245747}"
"((53.1254911526233, 118.24546746971335, 0.0), (125.35830709525182, 14.60777307448171, 0.0), (28.531915618446135, 32.87785783835667, 0.0), (76.25195661967987, 81.06547375363391, 0.0), (19.745129168752104, 29.47844778269885, 0.0), (152.33860034117396, 76.40534441164954, 0.0), (10.78308677876354, 65.17304653847721, 0.0), (56.95461687865207, 13.230454474538437, 0.0), (128.7996613477553, 28.463901777982876, 0.0), (5.58404948502697, 2.1694195401600425, 0.0), (6.458168560620047, 57.916557689895555, 0.0))","((125, 135, 50), (95, 45, 50), (85, 0, 50), (80, 15, 55), (80, 20, 50))",001011010111011111111,"{0: [0], 1: [2], 2: [4], 3: [1], 4: [4], 5: [0], 6: [2], 7: [4], 8: [1], 9: [4], 10: [3]}","{0: 4576422869.899886, 1: 4455439223.433274, 2: 4455439223.433274, 3: 4455439223.433274, 4: 4455439223.433274, 5: 4817099810.616975, 6: 3983815095.1557856, 7: 4455439223.433274, 8: 4455439223.433274, 9: 4455439223.433274, 10: 4223283398.182363}"
"((48.1808064278529, 112.34381023556492, 0.0), (110.97094887259826, 32.96562304817654, 0.0), (31.634069934871594, 35.94025273548945, 0.0), (81.41647474154709, 93.844458773196, 0.0), (13.304635742883434, 32.92388970737997, 0.0), (159.6036407900145, 48.95933124469202, 0.0), (8.33579916577116, 68.53931598966756, 0.0), (62.888464953634255, 32.04984731379085, 0.0), (131.94065896888975, 28.704704711326496, 0.0), (13.022487908384843, 4.521313399170901, 0.0))","((80, 30, 50), (10, 35, 50), (15, 45, 50), (135, 20, 55), (110, 25, 50))",000111001110111110111,"{0: [2], 1: [4], 2: [2], 3: [0], 4: [1], 5: [3], 6: [2], 7: [0], 8: [4], 9: [1]}","{0: 4341484386.673981, 1: 6166605211.787585, 2: 4341484386.673981, 3: 4838644267.0193615, 4: 4246781228.6863484, 5: 5380116455.015057, 6: 4341484386.673981, 7: 6043160085.629978, 8: 5945979922.683551, 9: 4246781228.6863484}"
"((76.6249776702543, 120.47911083367191, 0.0), (121.80012966468455, 31.131039953094565, 0.0), (32.34531974701237, 36.82707125609189, 0.0), (79.38843202388071, 87.98175695542409, 0.0), (15.099011183375374, 52.47513669644398, 0.0), (187.53924357765013, 40.60929408225556, 0.0), (11.583213545695525, 81.39719807925287, 0.0), (63.01149116534377, 32.821589751960325, 0.0))","((135, 10, 50), (15, 45, 50), (25, 35, 50), (85, 30, 50), (80, 30, 55))",010001100111111011101,"{0: [3], 1: [0], 2: [2], 3: [3], 4: [1], 5: [0], 6: [1], 7: [3]}","{0: 4160844828.9243565, 1: 3933087208.0043993, 2: 4309145927.42865, 3: 4309145927.42865, 4: 4309145927.42865, 5: 3933087208.0043993, 6: 4309145927.42865, 7: 4309145927.42865}"
"((70.83328747371246, 123.22956820123473, 0.0), (129.01695323257968, 26.478662763930473, 0.0), (17.86013406235422, 23.39669649032581, 0.0), (88.6526137755608, 78.17932365395893, 0.0), (10.73324978067245, 50.44108485685169, 0.0), (168.85329480060622, 40.7492774306341, 0.0), (22.695024466537568, 83.28588612468454, 0.0), (60.72919045628842, 11.406091347960558, 0.0), (21.1379205398659, 1.4677013048203649, 0.0))","((80, 25, 50), (20, 15, 50), (20, 40, 50), (120, 35, 50), (85, 35, 50))",001011010111010111110,"{0: [4], 1: [3], 2: [1], 3: [4], 4: [2], 5: [3], 6: [2], 7: [0], 8: [1]}","{0: 4195683636.8235397, 1: 5386110207.073731, 2: 4206808407.7914777, 3: 5386110207.073731, 4: 4256969879.9963655, 5: 5244982292.9719095, 6: 4256969879.9963655, 7: 5386110207.073731, 8: 4206808407.7914777}"
