0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(1186.4067835765754, 104.35084331924621, 0)","(483.09308812559914, 221.75392051534007, 0)","(954.1199330391726, 524.8480457553961, 0)","(494.0769371825016, 1481.676747845018, 0)","(307.6822750302194, 131.33235632708423, 0)","(1191.4554402009637, 825.2802779482554, 0)","(689.1696591154594, 1019.2880873246127, 0)","(168.88337145902145, 468.24102718191835, 0)","(865.0815893571208, 378.3937243255257, 0)","(1351.0366418520587, 44.64401885226765, 0)","(1208.8329948742978, 306.2786808150745, 0)","(1042.9173065814557, 409.01680159630155, 0)","(425.031279535376, 1187.8805005984486, 0)","(300.10375764050207, 377.81369530125403, 0)","(361.16575001281757, 261.3693691383062, 0)","(709.9766940007835, 1356.5631021254765, 0)","(1261.0521229577112, 1228.6133735733385, 0)","(865.5268741305692, 318.4633555984104, 0)","(1365.171021501369, 1455.3851275745951, 0)","(978.1338813178706, 1435.785831513133, 0)"
"(1172.3251521599782, 94.12433294206451, 0)","(479.5185660829468, 219.63943946513507, 0)","(960.9319962140266, 540.6922160874537, 0)","(516.4633934897282, 1479.8146397130943, 0)","(291.0754007283114, 112.97116146600322, 0)","(1183.9684525971395, 808.7723770350467, 0)","(686.2593847002589, 1007.1534679380109, 0)","(182.83937983316332, 468.36011490347096, 0)","(864.2270164353656, 379.8959115500573, 0)","(1350.9452675952239, 47.970091168323634, 0)","(1225.0201590391478, 288.88228967012185, 0)","(1027.8823443353276, 416.7224902951826, 0)","(428.6691144332573, 1184.2887975590545, 0)","(288.9427569253814, 353.18233993598244, 0)","(352.9184252101849, 282.04209672213324, 0)","(702.1678487300495, 1366.5089594405, 0)","(1259.761966505294, 1230.340101667566, 0)","(858.5204953734855, 321.98771484919996, 0)","(1384.3800895631748, 1476.3439096853176, 0)","(972.7964922577719, 1440.7565825869287, 0)"
"(1151.4170633464157, 108.41712632324473, 0)","(483.6352744256696, 219.17850268522741, 0)","(970.9749582359949, 516.387286811702, 0)","(518.5291095192481, 1482.1274834491933, 0)","(278.2979809104969, 101.78746999522279, 0)","(1186.175661280001, 829.571175751428, 0)","(685.0113554419348, 996.7840429954209, 0)","(186.39743559558832, 456.85037398588076, 0)","(851.8906138765576, 368.9674570595941, 0)","(1345.7053359533995, 41.23667559495253, 0)","(1212.9084866183132, 292.48332657312756, 0)","(1029.8119615013443, 417.3009482787436, 0)","(420.59150162419456, 1181.7601428781816, 0)","(293.59385870071077, 351.903131402485, 0)","(341.61852330509794, 285.0505260388672, 0)","(713.9479902769839, 1383.126720051223, 0)","(1260.3173655654625, 1230.4614254858834, 0)","(857.9188148155573, 323.0067534521238, 0)","(1364.3779097756158, 1481.7216733544494, 0)","(963.6222421834157, 1447.5412267363831, 0)"
"(1149.8567688374123, 90.05083995064571, 0)","(483.7729807674663, 219.84486894402266, 0)","(979.4468811945924, 531.8587278791182, 0)","(506.14475921349526, 1471.6413762083844, 0)","(281.6378174822597, 99.74336151460474, 0)","(1191.487239720213, 826.2751404067033, 0)","(673.5882754370753, 1013.5605999292799, 0)","(187.03359848128028, 448.748533924837, 0)","(833.8407781587832, 374.9192504193964, 0)","(1351.74320924579, 31.887875916508612, 0)","(1222.3178594280732, 280.8004921581365, 0)","(1030.1080912697662, 430.8874959182667, 0)","(430.1111781976128, 1158.2127467996108, 0)","(300.625079612514, 359.1590839579683, 0)","(349.79960690926686, 283.75687775409216, 0)","(738.4547507533111, 1377.864701119932, 0)","(1261.8956521544417, 1244.8555662573722, 0)","(849.5620208065139, 300.90775613088687, 0)","(1385.900950173275, 1489.8679385271917, 0)","(987.1639679793493, 1456.5291915427972, 0)"
"(1145.7850805009934, 84.16413114441457, 0)","(468.52700075555566, 222.22739614743503, 0)","(989.9897540107846, 526.2403677541674, 0)","(510.78332675929227, 1472.0078709528864, 0)","(281.74378206402844, 73.69606191457372, 0)","(1196.4013615340027, 828.7732460445873, 0)","(672.2922716247317, 985.2936620200948, 0)","(189.73846166199291, 466.4712324273482, 0)","(826.4620057875724, 382.008658830351, 0)","(1371.0407156385343, 29.793242238785314, 0)","(1226.9800787329814, 291.79792503158353, 0)","(1033.9825562156773, 424.98996952810927, 0)","(430.33552567295897, 1158.9620628525922, 0)","(296.18340888649533, 381.8138637537512, 0)","(344.8361852674623, 294.62642745156654, 0)","(730.5049852956524, 1366.174874125974, 0)","(1243.382972648115, 1238.1857983834861, 0)","(825.620596933404, 300.68096821306807, 0)","(1387.8827544696164, 1461.6172340367896, 0)","(965.7280707440474, 1462.775697149166, 0)"
"(1150.024716912314, 102.93014624750694, 0)","(445.5254295227495, 225.79929947278245, 0)","(1017.8127225500805, 516.3274832447446, 0)","(511.87984019529046, 1472.4959543157477, 0)","(275.6337385094596, 72.9112910149133, 0)","(1208.1605872308844, 809.3518308515293, 0)","(677.4420552856825, 993.9866752887309, 0)","(215.62562025510613, 458.60415405767213, 0)","(815.6612386051402, 391.315629557501, 0)","(1387.4390964044258, 42.92398592287913, 0)","(1233.0307106863472, 294.94096618605005, 0)","(1046.2831459254487, 424.31170753085496, 0)","(437.3422072347505, 1157.116734376485, 0)","(273.641011229971, 395.8482374846516, 0)","(346.4499687386817, 274.84227267960944, 0)","(734.2344290916768, 1386.6393729168337, 0)","(1266.6070991117872, 1254.4550146061313, 0)","(829.9183093059103, 293.39517866668194, 0)","(1377.7906308799668, 1473.812328698708, 0)","(952.9705692193371, 1463.53125914772, 0)"
"(1156.5236577065823, 99.90700442512389, 0)","(441.280270716001, 238.32767640677835, 0)","(1008.2978315421402, 515.3368778021601, 0)","(517.115675498296, 1471.7186148696653, 0)","(296.43962835059205, 65.26676455491122, 0)","(1205.5936416548782, 824.4383674990476, 0)","(697.1747320619465, 991.8695312532691, 0)","(207.32990639553657, 449.6301310390414, 0)","(793.594375883466, 403.1463666722164, 0)","(1386.5573602240138, 33.82255116556185, 0)","(1216.9555389521993, 318.2568125965483, 0)","(1067.463662758266, 426.9871294250013, 0)","(446.7793054043615, 1138.8468794704331, 0)","(257.26452279673157, 379.09569740016923, 0)","(326.6591579871728, 262.4981374664868, 0)","(710.3186433515391, 1369.5782792158398, 0)","(1275.817853234312, 1253.468965937344, 0)","(821.6242657103364, 308.68162634404524, 0)","(1407.2368501694918, 1468.713497437139, 0)","(939.9062946165159, 1471.4540814530465, 0)"
"(1162.845626432266, 94.05921516785588, 0)","(424.64892897225764, 257.85486038092887, 0)","(1003.1491252302042, 534.8353635172706, 0)","(506.58511431377974, 1480.9347945110344, 0)","(287.89857449811416, 60.45600377679533, 0)","(1198.1384111518653, 820.9053460017545, 0)","(681.6997369864574, 1007.6819978475686, 0)","(207.2825241465015, 448.980867046398, 0)","(786.923042367248, 407.26086609729356, 0)","(1406.053410415078, 54.96557194622188, 0)","(1215.575613617627, 332.56330339535214, 0)","(1075.77764882201, 417.9189576236074, 0)","(441.77932065234523, 1145.1303024554347, 0)","(257.61399178864474, 379.422832987549, 0)","(317.08219793769194, 253.57576110901687, 0)","(724.8035615046407, 1370.9432626022403, 0)","(1274.834041038405, 1227.5446780926943, 0)","(811.8052432859536, 297.41537790517737, 0)","(1382.3115198776861, 1460.5041289257106, 0)","(952.9645720585071, 1496.7225593164162, 0)"
"(1190.9848182826415, 98.95584398424285, 0)","(407.85173915633607, 249.50494534496355, 0)","(996.2441763957054, 555.2573160709915, 0)","(481.6478478309881, 1468.103681611618, 0)","(289.47613007971205, 37.24235591513231, 0)","(1189.4854586545623, 818.3800804905073, 0)","(657.0804239685344, 1000.4698583148681, 0)","(210.3855937221091, 465.7758075555072, 0)","(794.6054320361492, 400.56698174637154, 0)","(1396.3956093744148, 55.03149927879776, 0)","(1220.398994751931, 315.41907019105247, 0)","(1088.5035837299376, 435.03930952894274, 0)","(435.9789216449182, 1141.0243895213089, 0)","(266.6218462104026, 382.3175452590789, 0)","(329.37035114598336, 253.14305873644275, 0)","(721.5137329222694, 1370.559585907884, 0)","(1295.1769225377052, 1231.298863504541, 0)","(810.0961661804872, 321.4287402430295, 0)","(1395.7612010189425, 1445.7481036381103, 0)","(942.693198297171, 1487.068895445103, 0)"
"(1181.2805889872782, 100.31506661366993, 0)","(409.6249991052676, 249.00677281616157, 0)","(991.9060692734863, 556.7329679999947, 0)","(486.0662293291128, 1471.7187612872058, 0)","(287.9727709766424, 41.65102435903567, 0)","(1198.7091443673319, 809.8912951630432, 0)","(671.7469063033085, 990.8242773902663, 0)","(212.7766362976574, 476.00825016296227, 0)","(774.5312216971948, 411.06542709416016, 0)","(1381.1236699508183, 58.976364246060804, 0)","(1220.9624059006069, 345.3809808026684, 0)","(1096.004940203815, 440.00735212002957, 0)","(436.6435600258695, 1142.353793025893, 0)","(244.5491499335938, 367.2919914986101, 0)","(346.94136619463654, 256.03024898760054, 0)","(718.2470549545101, 1371.855667012046, 0)","(1296.51645290737, 1247.5008083124198, 0)","(834.207990383128, 321.1107026055579, 0)","(1397.0904618159584, 1446.44609590557, 0)","(938.023032089046, 1488.398440944257, 0)"
