0,1,2,3,4,5,6,7,8,9,10,11
"(81.07187360737367, 34.31197848817196, 0)","(90.79246239203084, 5.192602814693086, 0)","(3.779076730893798, 72.84793580147034, 0)","(63.297088373165074, 17.619862882728267, 0)","(122.08053448276637, 29.04969421761419, 0)","(8.432829000543997, 35.44041739710131, 0)","(4.416639821086552, 4.915117140462559, 0)","(160.1985997774604, 25.64110623973531, 0)","(68.31085975268462, 0.7568055457662022, 0)","(32.93085035270366, 120.80762438767412, 0)","(95.71580011866895, 79.02933874386922, 0)","(16.67546340478789, 38.787959881060445, 0)"
"(98.44132550567383, 26.18836491269686, 0)","(80.10622448952822, 4.446699685399988, 0)","(13.682401137721488, 70.96411576772762, 0)","(76.57925368981344, 6.759981703767316, 0)","(123.24233631023048, 31.532735663247337, 0)","(5.707674038680073, 41.47660833569469, 0)","(7.7641336218019505, 22.717202483230775, 0)","(168.27978404883942, 10.404004720725904, 0)","(52.32485601486871, 4.412646935222009, 0)","(14.992942315219004, 120.87007636033113, 0)","(95.70587376530258, 79.91072622015473, 0)","(30.078372986075916, 27.380417229697898, 0)"
"(103.95118533657099, 9.381533138161426, 0)","(98.61586557016554, 2.095180029806038, 0)","(28.933445122612167, 61.10687322168367, 0)","(75.89423008799005, 7.431924367797663, 0)","(135.97153875181996, 24.04451502715836, 0)","(21.97609916457722, 41.419308020227206, 0)","(3.224468783976408, 25.88795087069557, 0)","(158.51515799041792, 11.994980127456804, 0)","(65.14771481908322, 5.952751203862984, 0)","(13.754755450645291, 113.80919306526076, 0)","(106.62003347044508, 66.43239156290741, 0)","(34.719172381587676, 18.50154672510771, 0)"
"(111.54898071981063, 8.535711270126516, 0)","(97.4994104528663, 3.0166419684857626, 0)","(11.456772134461886, 58.65557692141583, 0)","(58.58767963172875, 16.546422626552854, 0)","(145.50986146226074, 41.316140314605185, 0)","(25.870946776087234, 44.09926796510181, 0)","(14.452093167758012, 16.848726903343135, 0)","(158.36888684570823, 16.38367329421709, 0)","(55.49934097811503, 18.859969361346835, 0)","(17.809541812958216, 123.47908690771186, 0)","(107.19307029395867, 66.865233157154, 0)","(41.43265217816385, 18.928802693046137, 0)"
"(110.47569945070367, 14.228536058985128, 0)","(89.77885026126661, 4.351355086378903, 0)","(15.015298986226359, 53.56931348636382, 0)","(62.495218872525136, 3.115077153713475, 0)","(131.11110837951233, 30.82599878742555, 0)","(22.047175426627796, 49.00560204937819, 0)","(5.0131315702783645, 19.901817970649432, 0)","(171.65085368654917, 15.273065970954198, 0)","(55.38113068307557, 32.44402438893657, 0)","(17.809241110327154, 123.475348050572, 0)","(114.62733635420456, 48.376323744206886, 0)","(42.32091443849628, 22.514728402720557, 0)"
"(108.01912151980616, 12.945433431485588, 0)","(90.12073105545844, 4.535028176982462, 0)","(9.548979046003431, 69.6779364677902, 0)","(68.06580931259536, 0.5840429728008343, 0)","(133.66149684853136, 23.806363597625204, 0)","(16.028214284403905, 45.82558129913198, 0)","(13.692021138099236, 15.633556213174959, 0)","(171.63784852332364, 15.243026640562682, 0)","(54.30599517458591, 31.944249715708096, 0)","(15.077531224710402, 143.02238200324717, 0)","(112.36702944934878, 52.060919032196125, 0)","(52.922515527054735, 33.73231661403334, 0)"
"(115.6295911419041, 16.56967498214872, 0)","(86.81206532391592, 12.82501347270048, 0)","(10.608036402971969, 69.81748721373127, 0)","(67.92369596587976, 0.486543590102574, 0)","(152.6491448366433, 20.598805613542684, 0)","(26.456749336842734, 48.1054395648512, 0)","(30.588126253880937, 21.25202971254128, 0)","(171.7947547476542, 3.551046765615224, 0)","(55.415165832743604, 32.08669000127017, 0)","(10.82022733711154, 140.0216887402594, 0)","(112.31076369547638, 52.02654446018629, 0)","(53.02550855589454, 31.81999093499418, 0)"
"(116.90047227339377, 24.966329045747067, 0)","(81.36393692076028, 24.036155291132147, 0)","(11.823319580524958, 72.54624572885537, 0)","(67.9141745345295, 0.24207101025092007, 0)","(162.38465632336678, 29.461685570159794, 0)","(34.42061086043334, 56.69345037601561, 0)","(46.46037939375624, 21.842224168028288, 0)","(170.25248186905378, 5.814821557256932, 0)","(57.13057995132011, 29.024599290143836, 0)","(2.878757796453195, 157.5694592285355, 0)","(102.63224195023925, 48.402901633261116, 0)","(47.25191030346542, 21.280274406287575, 0)"
"(129.4511004191603, 11.474704967921191, 0)","(96.84294764097135, 24.51539060697856, 0)","(12.834355164031388, 73.92088370558304, 0)","(58.41144848373025, 4.026388549443016, 0)","(171.08232853806393, 23.030855073570123, 0)","(35.23638514442231, 46.13108226373099, 0)","(58.25532059241189, 25.973926251455232, 0)","(167.08461596707687, 11.876429638675146, 0)","(65.31905078572846, 11.999411450339796, 0)","(0.631932954914816, 159.2865680302037, 0)","(92.08342891313639, 44.46771547063702, 0)","(40.08915337335353, 31.52085087069594, 0)"
"(141.70227659761284, 4.995579463628063, 0)","(91.69616177493187, 5.441093935048567, 0)","(1.0597355139780795, 66.59689681583356, 0)","(59.41100350549124, 2.3746060757388623, 0)","(165.8038924674835, 16.849218013975637, 0)","(34.77977475479927, 46.431444555417514, 0)","(57.488675307964265, 24.773112051709553, 0)","(173.13233444572774, 16.964091954146685, 0)","(63.31874707167515, 9.793460947859481, 0)","(6.312968421283035, 155.5733284204842, 0)","(92.15182648249134, 44.490909963358824, 0)","(38.58338627236523, 37.85625237561368, 0)"
