0,1,2,3,4,5,6,7,8,9,10,11
"(56.01506518201609, 158.72247004054287, 0)","(79.43170019124047, 52.11635345596671, 0)","(101.03747018101183, 41.339801024186976, 0)","(91.86046394523392, 14.306712129366318, 0)","(34.90185454905438, 140.15263254838317, 0)","(37.25827881357725, 65.0229192656306, 0)","(118.18080057027247, 15.996693323980278, 0)","(164.51152871865384, 66.90076487642787, 0)","(10.706010268150763, 122.00888660000817, 0)","(22.13172745038231, 5.122525486018819, 0)","(28.194653594237707, 17.919018822146278, 0)","(92.68504433680056, 19.41531547567685, 0)"
"(74.06709042444719, 144.45400313137128, 0)","(81.25646932449825, 58.13912831027383, 0)","(91.92028719050074, 46.63844055070851, 0)","(112.91243553471483, 7.636297452288457, 0)","(40.866392532066975, 134.97308446621872, 0)","(21.703998054754635, 85.25936851656648, 0)","(133.88334775903712, 12.889579497521002, 0)","(145.98215284759493, 53.808620097612376, 0)","(11.13609886753436, 121.06578554330332, 0)","(14.322620446947383, 20.994852495433243, 0)","(37.139647018769665, 10.778816750432814, 0)","(69.04690103555956, 29.827124536103966, 0)"
"(55.87440920816892, 147.2223245673022, 0)","(86.65304264900284, 58.24046158148686, 0)","(114.912288322733, 39.9433969378716, 0)","(93.50828623886477, 20.30597054776244, 0)","(41.635131388355354, 124.41265981135854, 0)","(8.039843765754227, 62.65692256479317, 0)","(134.27711618171543, 21.344103250893873, 0)","(160.93262950137367, 28.19226499989736, 0)","(10.408549137077745, 114.2035290482786, 0)","(15.398905021319413, 20.941669309439828, 0)","(54.6686113872382, 34.593943366486364, 0)","(63.33353568625798, 30.17647645969769, 0)"
"(58.143470747001984, 145.01505386367907, 0)","(102.8688090718082, 66.42234997171539, 0)","(111.727404993216, 22.903791363426123, 0)","(65.55363662493826, 26.471317603331933, 0)","(63.837556758450404, 117.50445417382942, 0)","(2.205567648358155, 66.5528432016291, 0)","(152.79294809152302, 36.30667196579268, 0)","(142.67556531051673, 43.705116152523075, 0)","(21.896133441688914, 105.76677126384747, 0)","(10.487936133422258, 21.923526954584275, 0)","(48.744786851293696, 33.86020292937024, 0)","(55.754454983402205, 31.354992415191674, 0)"
"(56.225177184276106, 153.00719826602318, 0)","(75.35660471889115, 56.16602013997474, 0)","(102.42719525995794, 25.917502668077187, 0)","(83.33019011872965, 35.675175015820514, 0)","(60.994569189170576, 106.98803168382865, 0)","(10.313339831541303, 63.98722348240461, 0)","(148.6219740108829, 24.50365122380518, 0)","(161.91797331438397, 53.45993895444212, 0)","(10.870480088861614, 103.38159190884777, 0)","(1.1574950451932953, 17.136312966647253, 0)","(52.733768549166356, 13.237262753669391, 0)","(52.69804784577692, 32.14898394645033, 0)"
"(41.22896748228246, 143.58368777611437, 0)","(90.96120244421482, 57.022952755310165, 0)","(79.48695662648866, 25.3494347443689, 0)","(84.72869255653184, 34.43721444701353, 0)","(60.8593954409783, 91.16192066675978, 0)","(2.602449548979762, 55.26988379025123, 0)","(162.22750856894018, 24.653154600574933, 0)","(163.18895845954503, 53.24366147501541, 0)","(7.92706248418649, 102.63559948434622, 0)","(15.898602878601409, 24.245265709289864, 0)","(67.80882090099206, 3.740621731953931, 0)","(50.95394136994746, 36.290795530678025, 0)"
"(49.775191051183164, 140.26259535180537, 0)","(88.36239132072868, 60.61108516313894, 0)","(86.60763132020837, 23.317283422630855, 0)","(91.97387319009883, 60.746844693450626, 0)","(59.86325387373334, 90.22602501414258, 0)","(8.516670451813006, 50.42416963040334, 0)","(172.93510496362424, 29.230706124439852, 0)","(150.9528172583325, 56.359039318287564, 0)","(6.565682459827318, 122.65648620905486, 0)","(13.491140192112791, 13.865223465941936, 0)","(42.34508557415985, 4.747758531101631, 0)","(46.94925647114711, 28.23446121686412, 0)"
"(35.9793119052982, 123.42747931212091, 0)","(98.6334261355255, 63.8004598907991, 0)","(81.85628686251228, 18.71842914567289, 0)","(76.65319557049264, 52.432042854169964, 0)","(68.77990493248139, 90.2309080408064, 0)","(30.451325593272905, 45.48195191947828, 0)","(180.75916405625367, 38.142686376148184, 0)","(177.19066316384203, 65.2458462889712, 0)","(6.278050389265374, 132.46827400420858, 0)","(15.372905222553134, 26.649646737087927, 0)","(31.85036688916357, 6.576591807960337, 0)","(34.1848442865338, 15.706128244177945, 0)"
"(59.31942027076324, 133.6229354289415, 0)","(110.25428788794657, 65.86713095534817, 0)","(75.56737599780725, 26.048269044047153, 0)","(74.04221393183221, 48.353638306898056, 0)","(85.54653988885921, 86.78730028935985, 0)","(16.95406253611221, 68.31225531992054, 0)","(171.29443368183684, 42.5358238712041, 0)","(189.30549335701127, 39.02206947409513, 0)","(6.012518908778263, 130.96334578643112, 0)","(22.383764695520362, 25.272908479880197, 0)","(19.46318538752454, 15.680089691892531, 0)","(21.532361281928264, 23.764529675802798, 0)"
"(64.74432375062274, 141.9772634436112, 0)","(109.3241594268367, 80.01052178855593, 0)","(71.10810487507825, 16.063532763387276, 0)","(101.3239396452658, 35.942126045151284, 0)","(103.58954149855786, 67.75619199842271, 0)","(27.792668511125616, 74.1197122346009, 0)","(170.4796756498365, 40.69098550295351, 0)","(174.40233779362381, 36.791926522297935, 0)","(31.281431718913225, 143.22680933028263, 0)","(5.8027420646167585, 5.13622007036469, 0)","(21.269928161583838, 18.01440454882674, 0)","(32.95858811810812, 10.663621749459791, 0)"
"(53.492854501578016, 163.70789129369825, 0)","(100.53595800413645, 95.78112815243, 0)","(61.29062242734639, 6.013969831370472, 0)","(92.98554368034473, 25.09096323524884, 0)","(103.16712149418828, 73.86119006828592, 0)","(36.364859514953665, 56.519997765928295, 0)","(162.5164515580282, 22.38460852141251, 0)","(177.9294377523106, 25.47170486240912, 0)","(38.17612043167057, 157.59980529269, 0)","(10.904954523880328, 22.409121702061565, 0)","(22.437501876582076, 11.889703455694885, 0)","(17.976080752857783, 9.338995943328651, 0)"
"(50.47045362574699, 147.1902729859779, 0)","(101.54238664650175, 82.1338069413372, 0)","(55.56986259470364, 32.43160851781927, 0)","(109.35445220307201, 28.82102175726844, 0)","(74.70328753334168, 81.26351429163483, 0)","(23.518595087445732, 56.15807731314058, 0)","(158.6476307911835, 22.80743713787897, 0)","(168.5343261665479, 52.88358775592023, 0)","(25.887752304045186, 162.0386010784709, 0)","(11.009322677827818, 22.63032715590684, 0)","(5.739153652050032, 30.39257938112865, 0)","(21.386135124516557, 3.6676656076894503, 0)"
"(48.60983023251614, 150.29385878947116, 0)","(104.89097930765189, 95.09574827041077, 0)","(41.901694211051904, 10.421944945876671, 0)","(116.30575151113436, 20.682031969611334, 0)","(74.07838745286784, 81.73367863148049, 0)","(25.88791278071536, 55.56800914896878, 0)","(144.10017765112377, 7.579885340509728, 0)","(166.28531396015615, 58.252543408151375, 0)","(34.7612859374142, 139.9834403962146, 0)","(2.2468406036770023, 30.10583843796464, 0)","(30.213967019353127, 42.520399685532524, 0)","(31.104070612706288, 1.8640191053453345, 0)"
"(57.04835401075455, 140.61583912215568, 0)","(95.9789913019521, 87.22852301301971, 0)","(41.65537416920316, 10.596516122151055, 0)","(104.26791329639298, 18.722193112814328, 0)","(75.37623545327152, 84.85782837939892, 0)","(8.66537601783764, 71.89336716983469, 0)","(163.4011003326777, 18.725094697751942, 0)","(160.06155999830492, 45.50502931650692, 0)","(23.518540744850473, 155.61602178218197, 0)","(9.528498781279158, 29.889127018335657, 0)","(18.62143927405385, 33.68990943478808, 0)","(40.29640069439942, 13.905978167947389, 0)"
"(61.79602048787143, 113.08926448860106, 0)","(111.1177243589197, 72.52030386087094, 0)","(23.287282750063426, 29.80763697989679, 0)","(91.91981869642001, 14.415088855070483, 0)","(57.14582415710939, 88.06274894492978, 0)","(7.850693337249818, 63.06771226456182, 0)","(162.48170263209465, 2.4052521669616134, 0)","(189.28113188248403, 49.94119308011402, 0)","(29.21088326671692, 143.47072787570914, 0)","(12.882981037460306, 29.637494174179782, 0)","(29.535870208695798, 30.690320373484425, 0)","(37.80382326705475, 20.30072537075725, 0)"
"(61.84615164766876, 107.9125511844794, 0)","(115.8434724522063, 75.75659420768629, 0)","(13.246295634519203, 52.13238846913411, 0)","(116.92014746461253, 20.547167710077883, 0)","(48.48785391267049, 89.27356777066652, 0)","(13.606393495469197, 36.647623247606845, 0)","(160.02224598415555, 1.6988700988980447, 0)","(189.10436010249578, 46.975876033725804, 0)","(17.724100019194186, 159.6729407230636, 0)","(38.218758471578354, 13.851050073175951, 0)","(4.778108380978011, 37.84400579304151, 0)","(18.917951456080868, 13.621348240155719, 0)"
