0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(192.26762043421155, 134.0452661124027, 0)","(131.66868453899363, 143.47229720443133, 0)","(175.48565272134954, 48.68507436231183, 0)","(18.36369805978952, 127.18451859394774, 0)","(7.663041792641474, 144.17417463267628, 0)","(13.40347464579235, 128.06340704734092, 0)","(64.20436486416654, 23.623998541819994, 0)","(199.41443867791756, 138.44658499915914, 0)","(187.84063768573884, 87.71808563286997, 0)","(66.74619800942887, 97.58508369359909, 0)","(31.96861421566083, 131.54516280950708, 0)","(11.499767061208187, 153.3754881719451, 0)","(170.7081674994356, 44.93062894961435, 0)","(139.8983231349264, 135.24201411710192, 0)","(9.782049742564462, 138.23223555732827, 0)","(16.68011848534471, 25.983314580108456, 0)","(104.63299366538835, 3.401959032898529, 0)","(191.01441447493045, 87.88728779572972, 0)","(46.52200121734978, 96.54199143947682, 0)","(122.70648251956942, 114.98842517001728, 0)"
"(178.81535972056747, 132.86770702363557, 0)","(131.96479341589858, 143.2945702784626, 0)","(189.25603725991715, 33.40927882626505, 0)","(8.375712097348844, 137.87302744299603, 0)","(28.327120231101517, 146.53833162025464, 0)","(12.653741527448577, 129.52960788921567, 0)","(64.53545914457099, 23.00800737560232, 0)","(193.88597768408155, 163.4788428149817, 0)","(196.19446137194038, 78.21799987115521, 0)","(65.2484343113762, 97.71100568483885, 0)","(31.12935140586846, 132.53996387035863, 0)","(11.81939509072752, 143.75069618546377, 0)","(156.45642008772046, 26.090786565280197, 0)","(136.85331926946347, 128.06056944839636, 0)","(5.259433600473498, 129.41444938380948, 0)","(14.702605060481854, 18.442319411120543, 0)","(118.12272648184678, 13.271232563415932, 0)","(198.929952794252, 80.74333981230983, 0)","(61.94355655772044, 83.54615382385568, 0)","(135.02479979763413, 118.0488324071522, 0)"
"(181.78191316996507, 135.42942746779406, 0)","(144.88769804155476, 126.0862350394793, 0)","(192.52350663867745, 42.151758130187844, 0)","(4.550794230858725, 147.7705787480496, 0)","(57.07366453229827, 150.8447908603771, 0)","(15.988289172300698, 101.20945702096549, 0)","(37.14670978902856, 33.92966517825594, 0)","(184.7216354868732, 172.8494849285836, 0)","(197.11589473995986, 75.7019359182774, 0)","(74.82785001840718, 90.27117254968431, 0)","(28.079202055855973, 118.22792774017606, 0)","(8.713446570769595, 144.27365776547535, 0)","(155.43456033375497, 24.428777095431457, 0)","(136.86306920210833, 127.94413113254646, 0)","(3.755492317783196, 129.49406491848427, 0)","(15.108181318942218, 16.337337824969506, 0)","(119.36234577056236, 9.702651281796584, 0)","(196.56674627299847, 87.8543888736648, 0)","(76.48656689883892, 103.58849128098123, 0)","(135.12377077484066, 147.00045566260636, 0)"
"(179.78951529850733, 113.66617064816361, 0)","(144.7859713032432, 134.03939410182005, 0)","(187.5135096424488, 45.423109184757706, 0)","(6.522412867172428, 129.1255724348388, 0)","(53.784292354516694, 149.70572642519969, 0)","(14.695958377158895, 101.85194949858769, 0)","(23.7866498983083, 46.49377256205197, 0)","(191.38734548787926, 174.22193181158437, 0)","(194.74152404596063, 72.39551675664978, 0)","(74.8832751511656, 88.05666741324906, 0)","(35.617026118888916, 96.33209723318076, 0)","(4.129769580023728, 147.24273604995605, 0)","(155.92176072870586, 39.13954218525889, 0)","(146.9135074241903, 118.08787040060707, 0)","(9.090089273230493, 125.19789401536255, 0)","(19.573325002477148, 11.375354888273069, 0)","(126.86131630548205, 2.666016355064029, 0)","(197.4742400949404, 81.17653517983581, 0)","(65.72870083483063, 91.60621427782266, 0)","(136.7304683923066, 127.5677286549801, 0)"
"(191.0832125100958, 136.1521382920811, 0)","(142.7712058556897, 135.7966064400175, 0)","(190.78817681877607, 34.53817474229052, 0)","(6.99833566744753, 132.98031266070433, 0)","(56.522076900660515, 164.6787309843959, 0)","(26.813530645345573, 85.14197471026273, 0)","(16.636862354844205, 41.41754616584772, 0)","(194.5954479544906, 193.60483855663125, 0)","(191.05714720126207, 85.53859488277064, 0)","(75.69387239323237, 88.83475897621959, 0)","(42.070213168568486, 89.38687304727826, 0)","(3.372614632761298, 146.55519383668585, 0)","(155.93755487601612, 41.33100313913733, 0)","(150.45454071470493, 97.87827214887514, 0)","(6.48705548227038, 102.6660003677764, 0)","(13.741795651221278, 15.162273855017188, 0)","(128.9735917580527, 5.397538403268758, 0)","(188.8892956119846, 88.12147562051173, 0)","(65.38938114835398, 83.0467095997789, 0)","(135.56256723455684, 126.45850932157825, 0)"
"(178.77337495734116, 157.34908288906033, 0)","(125.1860632582086, 144.53567295981338, 0)","(190.68477005639204, 34.68004196198525, 0)","(29.196208488241318, 140.4030827672229, 0)","(48.96508758836023, 145.80815750145467, 0)","(25.803740892700517, 86.72907047940069, 0)","(30.152997780804142, 44.53725344988228, 0)","(179.3738099030432, 192.27094292175508, 0)","(188.0922156549458, 80.2986760843336, 0)","(73.12486854259326, 85.27183167814638, 0)","(41.81562177303628, 88.49752543727872, 0)","(15.012656032742557, 150.06111807231326, 0)","(153.2230885866153, 36.48322386620269, 0)","(146.72529403873642, 107.67613288685915, 0)","(7.5619840177554325, 103.88497241012631, 0)","(13.558065989245879, 16.265975420488672, 0)","(122.82935410075437, 16.0906526390848, 0)","(188.81716886620134, 87.94654287008923, 0)","(55.89016746798095, 89.98254559253357, 0)","(130.7416071836558, 138.91026422230217, 0)"
"(178.2920004489516, 159.11810393550752, 0)","(127.52758255973065, 126.31972269445097, 0)","(199.61079710186044, 53.84126868901833, 0)","(21.985671627087346, 120.93770353244125, 0)","(57.07452321961239, 162.59780681437292, 0)","(31.286291747265757, 80.11093049120565, 0)","(33.675195141113136, 56.398723396287664, 0)","(190.92702973679303, 164.70163380286675, 0)","(177.25610569798732, 58.3512759599181, 0)","(79.14601239947476, 76.85650304288382, 0)","(29.982097505177947, 104.08358858947462, 0)","(14.406474941361239, 150.22049244866372, 0)","(147.98280821836002, 33.15635338996847, 0)","(146.2912705902877, 109.34678619568514, 0)","(15.34866924188925, 105.3952956322875, 0)","(13.783487559000484, 16.7265222674754, 0)","(112.87282576592574, 7.122592295771433, 0)","(195.18100471211937, 96.7603259159414, 0)","(36.10594020514746, 86.60565463846224, 0)","(128.46085524316408, 120.80373007844845, 0)"
"(178.61942413544693, 161.815431622057, 0)","(142.81050994123487, 122.48986755103356, 0)","(199.02283536488108, 62.741219124123646, 0)","(39.79847863708848, 123.4118047392574, 0)","(57.63997478693123, 152.06519310810944, 0)","(9.2606199040296, 73.85665947697109, 0)","(28.098311482582247, 76.88868670456806, 0)","(198.72066196714079, 158.42347962201123, 0)","(172.1385803939737, 61.78947110404121, 0)","(79.41907581727365, 76.76020427711406, 0)","(24.31248527049233, 95.98229538205086, 0)","(14.637131664725606, 149.83951087616845, 0)","(147.2658063823482, 29.95605152888617, 0)","(141.27362560907522, 118.71294937691154, 0)","(15.895353478295771, 105.49203195174672, 0)","(18.714462197213777, 0.944301198415511, 0)","(137.20555289354567, 5.939915814627208, 0)","(194.8675776067457, 95.27894471323057, 0)","(49.29189531843136, 90.16971020445705, 0)","(127.47177745825319, 126.08525261721265, 0)"
"(172.34585185865913, 161.0894486373276, 0)","(146.96987233112594, 118.74030524040262, 0)","(193.9899623854795, 74.28302103694153, 0)","(19.99922397779494, 126.60376138477358, 0)","(56.19862430003075, 144.99983081229675, 0)","(6.500892090021949, 78.15258334315092, 0)","(21.637648310695027, 78.14874817238169, 0)","(198.26812561018448, 157.3069197556246, 0)","(193.58304550046253, 68.90679212217483, 0)","(70.91684390797973, 90.41301933681295, 0)","(41.47692918551107, 95.62072014238508, 0)","(17.849077400456068, 148.28861568536732, 0)","(150.35007034531048, 20.201818673314577, 0)","(145.5640374942334, 115.88555829661026, 0)","(8.724316192889315, 92.31910238063625, 0)","(19.204076205584492, 0.1474069618771996, 0)","(123.47658004861282, 3.7091173841652396, 0)","(194.47862073950475, 93.92879069303012, 0)","(27.05580621372669, 103.46951507769111, 0)","(124.05859924635917, 132.0934632910197, 0)"
"(176.8812599996339, 140.45860767012175, 0)","(129.48537975292453, 113.07656242568557, 0)","(183.41978465547902, 83.03126533227947, 0)","(29.480524953828855, 120.45719850087033, 0)","(51.75380221497996, 147.98732107672112, 0)","(6.188905412834299, 76.91985208769334, 0)","(28.005450001085638, 77.91990494016164, 0)","(194.16384686478509, 152.16075015009568, 0)","(190.78932228690175, 71.66564209209378, 0)","(59.54262320776747, 83.29578961064024, 0)","(41.60554003850932, 96.75912364485161, 0)","(11.806931516084756, 164.22670287103557, 0)","(149.88636117119947, 36.492245286887254, 0)","(140.45941752740785, 120.92624953843045, 0)","(11.458121938284478, 99.60808599917961, 0)","(30.256765242200117, 7.204722357356012, 0)","(137.12547646653425, 9.742813755085175, 0)","(194.21550482730274, 91.17356412823379, 0)","(35.768259011215584, 104.59361742444887, 0)","(112.36348689629615, 112.18164646148932, 0)"
